Actual Price,Predicted Price
32000000,46113333.33333333
39000000,36780000.0
140000000,156650000.0
24000000,25108333.33333332
40000000,44720000.0
59000000,55960000.0
36000000,33470000.0
12000000,22271000.0
60000000,56190000.0
26000000,25550000.0
42000000,52390000.0
44000000,45670000.0
80000000,65455000.0
40000000,38878476.190476194
42000000,44190000.0
26000000,27150000.0
70000000,54430000.0
20000000,27420000.0
23000000,19475000.0
70000000,83897500.0
27000000,23237500.0
17000000,29407666.666666664
11000000,18423000.0
31000000,37367500.0
45000000,53008500.0
73000000,75694619.04761906
82000000,68210000.0
45000000,49480000.0
140000000,119318333.33333336
59000000,64980000.0
35000000,25380000.0
30000000,33822500.0
95000000,81220000.0
25000000,31335833.333333336
120000000,126412329.05982906
33000000,28150000.0
90000000,82055000.00000001
90000000,71481666.66666666
51000000,60850000.0
23000000,37980000.0
15000000,17010000.0
52000000,49510000.0
50000000,48574000.0
52000000,47710000.0
42000000,37065000.0
27000000,29710000.0
90000000,70220000.0
150000000,93385000.0
22000000,30990000.0
140000000,135330000.0
64000000,74595833.33333333
74000000,81900000.0
59000000,81788166.66666666
43000000,25742000.0
16000000,8035200.0
70000000,60940000.0
98000000,61565333.33333334
7800000,9244000.0
53000000,44046666.66666666
13000000,23090000.0
38000000,28665000.0
19000000,19189000.0
19000000,28838000.0
27000000,27874928.57142857
90000000,77347500.0
20000000,19694000.000000004
37000000,41951333.33333333
62000000,65680000.0
30000000,26220944.444444448
33000000,31285000.0
56000000,50300000.0
20000000,21516999.999999996
44000000,37341781.74603175
60000000,62250000.0
22000000,17570000.0
20000000,29000000.0
17000000,14622333.333333336
81000000,57130000.0
41000000,61130000.0
94000000,98292333.3333333
69000000,73800000.0
38000000,35970000.0
34000000,52683333.33333333
67000000,62590000.0
58000000,44519000.0
120000000,85006666.66666667
76000000,83980000.0
60000000,48205000.0
59000000,64055000.0
44000000,50400000.0
35000000,51186000.0
36000000,39640000.0
37000000,44651666.66666666
71000000,94944166.66666666
34000000,30510333.33333333
54000000,43250000.0
10000000,14033166.666666664
35000000,38618000.0
91000000,89488500.0
90000000,97400000.0
56000000,49268000.0
19000000,31020000.0
84000000,81580000.0
16000000,18071333.333333332
46000000,52280000.0
34000000,34500000.0
59000000,41850000.0
28000000,37662500.0
40000000,43270000.0
31000000,31298333.333333336
46000000,51861597.4025974
31000000,46210000.0
35000000,28550000.0
12000000,14456666.666666668
35000000,44355500.0
34000000,42234416.66666667
34000000,42135000.0
94000000,95709166.66666669
30000000,34042134.920634925
26000000,32488000.0
12000000,21314166.666666668
59000000,77386833.33333334
100000000,71063599.2063492
56000000,54180000.0
360000000,324300000.0
60000000,65370595.23809524
110000000,93968166.66666666
27000000,28100000.0
14000000,13290000.0
5600000,7277000.0
29000000,31548000.0
14000000,14255000.0
160000000,179220000.0
23000000,20743833.333333336
82000000,92759309.52380952
200000000,144331404.7619048
82000000,91461666.66666666
35000000,38095000.0
62000000,62575000.0
37000000,36540000.0
15000000,29722000.0
56000000,61000000.0
15000000,21180000.0
43000000,27161333.333333336
60000000,62540000.0
17000000,10491000.0
65000000,54830000.0
56000000,55495000.0
85000000,103430000.0
55000000,46860000.0
98000000,95250000.0
74000000,68140666.66666667
13000000,27380000.0
42000000,47765000.0
84000000,75536666.66666666
31000000,28640000.0
14000000,15698000.0
30000000,27710000.0
110000000,116324885.1540616
50000000,62038000.0
26000000,28398527.777777787
140000000,170140000.0
75000000,77470000.0
29000000,24430000.0
44000000,63100000.0
14000000,14511000.0
56000000,50870000.0
54000000,62671666.66666666
110000000,101980000.0
35000000,44670000.0
76000000,88308476.1904762
57000000,59416333.33333333
83000000,68116666.66666667
84000000,85300194.44444443
60000000,75864333.33333333
39000000,72052000.0
110000000,106880000.0
25000000,30480000.0
68000000,64967500.0
38000000,35670000.00000001
72000000,60245000.0
20000000,19607000.0
110000000,108450000.0
68000000,62660000.0
200000000,91369999.99999999
43000000,37341781.74603175
60000000,45365357.14285714
82000000,89710000.0
68000000,64687500.0
37000000,42706666.666666664
22000000,15784000.0
46000000,44570000.0
46000000,33890000.0
120000000,125185000.0
22000000,29593333.33333333
22000000,24574000.0
9900000,11969000.0
73000000,68415000.0
67000000,75870000.0
45000000,35290000.0
67000000,54863333.33333334
44000000,32610000.0
31000000,35570000.0
11000000,11712666.666666668
85000000,91030000.0
65000000,62300000.0
150000000,113710000.0
97000000,85014285.71428572
28000000,20754166.666666668
44000000,31380000.0
21000000,22720000.0
54000000,40261999.99999999
93000000,68890000.0
12000000,15398333.333333336
34000000,31943333.333333336
27000000,31031666.666666664
42000000,57870000.0
26000000,27342000.0
38000000,34923333.333333336
32000000,33730000.0
46000000,27970000.0
